ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Status
5849,0,,Y
4583,1508,128,N
3000,0,66,Y
2583,2358,120,Y
6000,0,141,Y
5417,4196,267,Y
2333,1516,95,Y
3036,2504,158,N
4006,1526,168,Y
12841,10968,349,N
3200,700,70,Y
2500,1840,109,Y
3073,8106,200,Y
1853,2840,114,N
1299,1086,17,Y
4950,0,125,Y
3596,0,100,Y
3510,0,76,N
4887,0,133,N
2600,3500,115,Y
7660,0,104,N
5955,5625,315,Y
2600,1911,116,N
3365,1917,112,N
3717,2925,151,N
9560,0,191,Y
2799,2253,122,Y
4226,1040,110,Y
1442,0,35,N
3750,2083,120,Y
