ApplicantIncome,CoapplicantIncome,LoanAmount
5849,0,
4583,1508,128
3000,0,66
2583,2358,120
6000,0,141
5417,4196,267
2333,1516,95
3036,2504,158
4006,1526,168
12841,10968,349
3200,700,70
2500,1840,109
3073,8106,200
1853,2840,114
1299,1086,17
4950,0,125
3596,0,100
3510,0,76
4887,0,133
2600,3500,115
7660,0,104
5955,5625,315
2600,1911,116
3365,1917,112
3717,2925,151
9560,0,191
2799,2253,122
4226,1040,110
1442,0,35
3750,2083,120
4166,3369,201
3167,0,74
4692,0,106
3500,1667,114
12500,3000,320
